模块,位置描述,涉及版本,zh-CN 简体中文（中国大陆）,zh-TW 繁体中文（中国台湾）,en-US 英文（美国）,vi-VN 越南语（越南）,ar-SA 阿拉伯语（沙特阿拉伯）,es-ES 西班牙语（西班牙）,pt-BR 葡萄牙语（巴西）,fr-FR 法语（法国）,ja-JP 日语（日本）,ko-KR 韩语（韩国）,ur-PK 乌尔都语（巴基斯坦）,id-ID 印尼语（印度尼西亚）,hi-IN 印地语（印度）,ru-RU 俄语（俄罗斯）,tr-TR 土耳其语（土耳其）,使用场景/注意事项
系统提示/弹窗/权限,直播间/预约直播流程 - 你在本轮获得 数值 数值 福袋，奖励已自动发放到账户，可在 数值 明细中查看。,,你在本轮获得 {{amount}} {{unit}} 福袋，奖励已自动发放到账户，可在 {{unit}} 明细中查看。,恭喜您在本輪贏得{{amount}} {{unit}}福袋，獎勵已自動發放至帳戶，可於{{unit}}明細中查看。,You won the {{amount}} {{unit}} Lucky Bag this round. The reward has been automatically issued to your account and can be viewed in your {{unit}} history.,Bạn đã trúng Lucky Bag {{amount}} {{unit}} ở vòng này. Phần thưởng đã được cộng tự động và có thể xem trong lịch sử {{unit}}.,فزت بحقيبة الحظ {{amount}} {{unit}} في هذه الجولة. تم إصدار المكافأة تلقائياً ويمكنك الاطلاع عليها في سجل {{unit}}.,Ganaste la bolsa de la suerte de {{amount}} {{unit}} en esta ronda. La recompensa se acreditó automáticamente; consúltala en tu historial de {{unit}}.,Você ganhou a bolsa da sorte de {{amount}} {{unit}} nesta rodada. A recompensa foi creditada automaticamente e pode ser vista no histórico de {{unit}}.,Vous avez gagné le sac chanceux {{amount}} {{unit}} ce tour. La récompense a été créditée automatiquement ; consultez votre historique des {{unit}}.,今回の{{amount}} {{unit}}ラッキーバッグに当選しました。報酬は自動で付与され、{{unit}}履歴で確認できます。,이번 라운드에서 {{amount}} {{unit}} 럭키백에 당첨되었습니다. 보상은 자동 지급되었으며 {{unit}} 내역에서 확인할 수 있습니다.,اس راؤنڈ میں آپ نے {{amount}} {{unit}} لکی بیگ جیتا۔ انعام خودکار طور پر آپ کے اکاؤنٹ میں جاری ہو چکا؛ {{unit}} کی تاریخ میں دیکھ سکتے ہیں۔,Kamu memenangkan Lucky Bag {{amount}} {{unit}} pada putaran ini. Hadiah sudah dikirim ke akun kamu dan bisa dilihat di riwayat {{unit}}.,इस राउंड में आपने {{amount}} {{unit}} लकी बैग जीता। इनाम आपके खाते में स्वतः जमा हो गया; {{unit}} इतिहास में देख सकते हैं।,Вы выиграли лаки-бег на {{amount}} {{unit}} в этом раунде. Награда начислена автоматически; смотрите в истории {{unit}}.,Bu turda {{amount}} {{unit}} şans çantasını kazandın. Ödül hesabına otomatik yansıdı; {{unit}} geçmişinden görebilirsin.,含动态变量，翻译时必须保留 {{}} 内占位符，前后语序可按语言调整
系统提示/弹窗/权限,直播间/预约直播流程 - 倒计时结束后，需要由主播手动判定结果。,,倒计时结束后，需要由主播手动判定结果。,倒數結束後，您需手動判定結果。,"After the countdown ends, you will determine the outcome manually.","Sau khi hết đếm ngược, bạn sẽ tự phán định kết quả.",بعد انتهاء العد التنازلي، ستحدد النتيجة يدوياً.,"Tras la cuenta atrás, determinarás el resultado manualmente.","Após a contagem regressiva, você define o resultado manualmente.","Après le compte à rebours, vous déterminerez le résultat manuellement.",カウントダウン終了後、手動で結果を判定します。,카운트다운이 끝나면 수동으로 결과를 판정합니다.,الٹی گنتی کے بعد آپ دستی طور پر نتیجہ طے کریں گے۔,"Setelah hitung mundur berakhir, kamu akan menentukan hasil secara manual.",काउंटडाउन के बाद आप मैन्युअल रूप से परिणाम तय करेंगे।,После таймера вы вручную определите исход.,Geri sayım bitince sonucu elle belirleyeceksin.,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 判定结果,,判定结果,判定結果,Judge outcome,Phán định kết quả,حسم النتيجة,Resolver resultado,Julgar resultado,Trancher le résultat,結果を判定,결과 판정,نتیجہ طے کریں,Nilai hasil,परिणाम तय करें,Вынести вердикт,Sonucu belirle,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 判定结果（倒计时未结束）,,判定结果（倒计时未结束）,判定結果（倒數尚未結束）,Judge outcome (countdown not finished),Phán định kết quả (chưa hết đếm ngược),حسم النتيجة (العد التنازلي لم ينته),Resolver resultado (cuenta atrás sin terminar),Julgar resultado (contagem não terminou),Trancher le résultat (compte à rebours non terminé),結果を判定（カウントダウン未終了）,결과 판정(카운트다운 미종료),نتیجہ طے کریں (الٹی گنتی باقی),Nilai hasil (hitung mundur belum selesai),परिणाम तय करें (काउंटडाउन बाकी),Вынести вердикт (таймер не закончился),Sonucu belirle (geri sayım bitmedi),直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 取消后本场直播将不会生成回放，确认取消吗？,,取消后本场直播将不会生成回放，确认取消吗？,取消後本場直播將不會生成回放，確認取消嗎？,"After cancelling, this live will not have a replay. Are you sure you want to cancel?","Sau khi hủy, buổi live này sẽ không có phát lại. Bạn có chắc muốn hủy?",بعد الإلغاء، لن يكون لهذا البث إعادة مشاهدة. هل أنت متأكد أنك تريد إلغاءه؟,"Después de cancelar, este en vivo no tendrá repetición. ¿Seguro que deseas cancelarlo?","Após cancelar, esta live não terá replay. Tem certeza de que deseja cancelar?","Après annulation, ce live n'aura pas de replay. Voulez-vous vraiment l'annuler ?",キャンセルすると、このライブ配信はアーカイブされません。本当にキャンセルしますか？,취소하면 이 라이브는 다시보기가 제공되지 않습니다. 정말 취소하시겠습니까?,منسوخی کے بعد اس لائیو کا ری پلے نہیں ہوگا۔ کیا آپ واقعی منسوخ کرنا چاہتے ہیں؟,"Setelah dibatalkan, live ini tidak akan memiliki replay. Apakah Anda yakin ingin membatalkan?",रद्द करने के बाद इस लाइव का रीप्ले उपलब्ध नहीं होगा। क्या आप वाकई रद्द करना चाहते हैं?,"После отмены у этого эфира не будет повтора. Вы уверены, что хотите отменить?",İptal ederseniz bu canlı yayının tekrarı olmayacaktır. İptal etmek istediğinize emin misiniz?,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 取消直播,,取消直播,取消直播,Cancel Live,Hủy buổi live,إلغاء البث المباشر,Cancelar transmisión en vivo,Cancelar Live,Annuler le live,ライブ配信をキャンセル,라이브 종료 취소,لائیو اسٹریم منسوخ کریں,Batalkan Live Stream,लाइव स्ट्रीम रद्द करें,Отменить эфир,Canlı Yayını İptal Et,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 取消直播失败，请稍后重试,,取消直播失败，请稍后重试,取消直播失敗，請稍後再試,"Failed to cancel live, please try again later","Hủy live thất bại, vui lòng thử lại sau",فشل في إلغاء البث، يرجى المحاولة لاحقاً,"No se pudo cancelar el en vivo, inténtalo de nuevo más tarde","Falha ao cancelar live, tente novamente mais tarde","Échec de l'annulation du live, veuillez réessayer plus tard",ライブ配信のキャンセルに失敗しました。しばらくしてからお試しください,라이브 취소에 실패했습니다. 잠시 후 다시 시도해주세요,لائیو منسوخ کرنے میں ناکام، براہ کرم بعد میں دوبارہ کوشش کریں,"Gagal membatalkan live, silakan coba lagi nanti","लाइव रद्द करने में विफल, कृपया बाद में फिर प्रयास करें","Не удалось отменить эфир, попробуйте позже","Canlı yayın iptal edilemedi, lütfen daha sonra tekrar deneyin",直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 录制已停止,,录制已停止,錄製已停止,Recording stopped,Đã dừng ghi hình,تم إيقاف التسجيل,Grabación detenida,Gravação interrompida,Enregistrement arrêté,録画を停止しました,녹화 중지됨,ریکارڈنگ روک دی گئی,Perekaman dihentikan,रिकॉर्डिंग बंद हुई,Запись остановлена,Kayıt durduruldu,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 录制已开始,,录制已开始,錄製已開始,Recording started,Đã bắt đầu ghi hình,بدأ التسجيل,Grabación iniciada,Gravação iniciada,Enregistrement démarré,録画を開始しました,녹화 시작됨,ریکارڈنگ شروع ہو گئی,Perekaman dimulai,रिकॉर्डिंग शुरू हुई,Запись началась,Kayıt başladı,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 手动判定结果,,手动判定结果,手動判定結果,Judge outcome manually,Phán định thủ công,حسم النتيجة يدوياً,Resolver resultado manualmente,Julgar resultado manualmente,Trancher le résultat manuellement,手動で結果を判定,수동으로 결과 판정,دستی طور پر نتیجہ طے کریں,Nilai hasil secara manual,मैन्युअल रूप से परिणाम तय करें,Вынести вердикт вручную,Sonucu elle belirle,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 提交中,,提交中...,提交中...,Submitting...,Đang gửi...,جارٍ الإرسال...,Enviando...,Enviando...,Envoi...,送信中...,제출 중...,جمع کیا جا رہا ہے...,Mengirim...,सबमिट हो रहा है...,Отправка...,Gönderiliyor...,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 提交举报,,提交举报,提交舉報,Submit Report,Gửi báo cáo,إرسال الإبلاغ,Enviar reporte,Enviar Denúncia,Envoyer le signalement,通報を送信,신고 제출,رپورٹ جمع کریں,Kirim Laporan,रिपोर्ट सबमिट करें,Отправить жалобу,Şikayeti Gönder,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 暂无可用原因,,暂无可用原因,暫無可用原因,No reasons available,Không có lý do khả dụng,لا توجد أسباب متاحة,No hay motivos disponibles,Nenhum motivo disponível,Aucun motif disponible,利用可能な理由がありません,사용 가능한 사유가 없습니다,کوئی وجہ دستیاب نہیں,Tidak ada alasan tersedia,कोई कारण उपलब्ध नहीं,Причины недоступны,Uygun neden yok,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 本轮未获得 数值，参与记录已保留，请关注下一轮。,,本轮未获得 {{bagType}}，参与记录已保留，请关注下一轮。,本輪您未中{{bagType}}，參與紀錄已保留，請留意下一輪。,You did not win the {{bagType}} this round. Your participation has been recorded. Please stay tuned for the next round.,Bạn chưa trúng {{bagType}} ở vòng này. Phần tham gia đã được ghi nhận. Hãy chờ vòng sau.,لم تفز بـ {{bagType}} في هذه الجولة. تم تسجيل مشاركتك. ترقّب الجولة القادمة.,No ganaste la {{bagType}} en esta ronda. Tu participación quedó registrada. Estate atento a la próxima ronda.,Você não ganhou a {{bagType}} nesta rodada. Sua participação foi registrada. Fique ligado na próxima rodada.,Vous n’avez pas gagné le {{bagType}} ce tour. Votre participation est enregistrée. Restez à l’affût du prochain tour.,今回の{{bagType}}は当選しませんでした。参加は記録済みです。次のラウンドをお楽しみに。,이번 라운드의 {{bagType}}에는 당첨되지 않았습니다. 참여는 기록되었습니다. 다음 라운드를 기대해 주세요.,اس راؤنڈ میں آپ {{bagType}} نہیں جیتے۔ آپ کی شرکت درج ہے۔ اگلے راؤنڈ کا انتظار کریں۔,Kamu belum menang {{bagType}} pada putaran ini. Partisipasi kamu sudah tercatat. Nantikan putaran berikutnya.,इस राउंड में आप {{bagType}} नहीं जीते। आपकी भागीदारी दर्ज है। अगले राउंड का इंतज़ार करें।,Вы не выиграли {{bagType}} в этом раунде. Участие учтено. Следите за следующим раундом.,Bu turda {{bagType}} kazanamadın. Katılımın kaydedildi. Sonraki turu bekle.,含动态变量，翻译时必须保留 {{}} 内占位符，前后语序可按语言调整
系统提示/弹窗/权限,直播间/预约直播流程 - 本轮竞猜进行中，倒计时结束后可判定结果。,,本轮竞猜进行中，倒计时结束后可判定结果。,本輪進行中，倒數結束後可進行判定。,A round is in progress. You can judge after the countdown ends.,Vòng đang diễn ra. Bạn có thể phán định sau khi hết đếm ngược.,جولة قيد التنفيذ. يمكنك الحكم بعد انتهاء العد التنازلي.,Hay una ronda en curso. Podrás resolverla tras la cuenta atrás.,Há uma rodada em andamento. Você pode julgar após a contagem regressiva.,Une manche est en cours. Vous pourrez juger après le compte à rebours.,ラウンド進行中です。カウントダウン終了後に判定できます。,라운드가 진행 중입니다. 카운트다운 종료 후 판정할 수 있습니다.,ایک راؤنڈ جاری ہے۔ الٹی گنتی کے بعد فیصلہ کر سکتے ہیں۔,Putaran sedang berlangsung. Kamu dapat menilai setelah hitung mundur berakhir.,एक राउंड चल रहा है। काउंटडाउन के बाद निर्णय दें।,Раунд уже идёт. Вердикт можно вынести после таймера.,Bir tur devam ediyor. Geri sayım bitince karar verebilirsin.,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 直播已取消,,直播已取消,直播已取消,Live has been cancelled,Buổi live đã được hủy,تم إلغاء البث,El en vivo ha sido cancelado,A live foi cancelada,Le live a été annulé,ライブ配信をキャンセルしました,라이브가 취소되었습니다,لائیو منسوخ کر دی گئی,Live telah dibatalkan,लाइव रद्द कर दी गई है,Эфир отменён,Canlı yayın iptal edildi,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 直播已结束,,直播已结束,直播已結束,Live stream has ended,Buổi live đã kết thúc,انتهى البث المباشر,La transmisión en vivo ha finalizado,A live foi encerrada,Le live est terminé,ライブ配信を終了しました,라이브 스트림이 종료되었습니다,لائیو اسٹریم ختم ہو گئی,Live stream telah berakhir,लाइव स्ट्रीम समाप्त हो गई है,Эфир завершён,Canlı yayın sona erdi,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 确认结束直播？,,确认结束直播？,確認結束直播？,End stream?,Kết thúc buổi phát?,إنهاء البث؟,¿Finalizar transmisión?,Encerrar transmissão?,Terminer le stream ?,配信を終了しますか？,라이브를 종료할까요?,اسٹریم ختم کریں؟,Akhiri stream?,स्ट्रीम समाप्त करें?,Завершить эфир?,Yayın bitsin mi?,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 积分福袋,,积分福袋,積分福袋,Points Lucky Bag,Lucky Bag điểm,حقيبة حظ بالنقاط,Bolsa de la suerte de puntos,Bolsa da sorte de pontos,Sac chanceux Points,ポイントラッキーバッグ,포인트 럭키백,پوائنٹس والا لکی بیگ,Lucky Bag Poin,पॉइंट्स लकी बैग,Лаки-бег с очками,Puan şans çantası,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 竞猜进行中,,竞猜进行中,預測進行中,Prediction in progress,Dự đoán đang diễn ra,توقع قيد التنفيذ,Predicción en curso,Previsão em andamento,Prédiction en cours,予測進行中,예측 진행 중,پیش گوئی جاری ہے,Prediksi sedang berlangsung,भविष्यवाणी चल रही है,Прогноз идёт,Tahmin devam ediyor,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 结束直播,,结束直播,結束直播,End Live,Kết thúc live,إنهاء البث المباشر,Finalizar transmisión en vivo,Encerrar Live,Terminer le live,ライブ配信を終了,라이브 종료,لائیو اسٹریم ختم کریں,Akhiri Live Stream,लाइव स्ट्रीम समाप्त करें,Завершить эфир,Canlı Yayını Bitir,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 结束直播后，观众将无法继续观看。确认结束吗？,,结束直播后，观众将无法继续观看。确认结束吗？,結束直播後，觀眾將無法繼續觀看。確認結束嗎？,"After ending the live stream, viewers will no longer beable to watch.Are you sure you want to end it?","Sau khi kết thúc live, người xem sẽ không thể tiếp tục xem. Bạn có chắc muốn kết thúc?",بعد إنهاء البث المباشر، لن يتمكن المشاهدون من المشاهدة بعد الآن. هل أنت متأكد أنك تريد إنهاءه؟,"Después de finalizar la transmisión en vivo, los espectadores ya no podrán verla. ¿Seguro que deseas finalizarla?","Após encerrar a live, os espectadores não poderão mais assistir. Tem certeza de que deseja encerrar?","Après la fin du live, les spectateurs ne pourront plus le regarder. Voulez-vous vraiment le terminer ?",ライブ配信を終了すると、視聴者は視聴できなくなります。本当に終了しますか？,라이브 종료 후에는 시청자가 더 이상 시청할 수 없습니다. 정말 종료하시겠습니까?,لائیو اسٹریم ختم کرنے کے بعد ناظرین مزید نہیں دیکھ سکیں گے۔ کیا آپ واقعی ختم کرنا چاہتے ہیں؟,"Setelah live stream diakhiri, penonton tidak dapat lagi menonton. Apakah Anda yakin ingin mengakhirinya?",लाइव स्ट्रीम समाप्त करने के बाद दर्शक इसे नहीं देख पाएंगे। क्या आप वाकई समाप्त करना चाहते हैं?,"После завершения эфира зрители больше не смогут его смотреть. Вы уверены, что хотите завершить?",Canlı yayın bittikten sonra izleyiciler artık izleyemez. Bitirmek istediğinize emin misiniz?,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 结束直播失败，请稍后重试,,结束直播失败，请稍后重试,結束直播失敗，請稍後再試,"Failed to end live, please try again later","Kết thúc live thất bại, vui lòng thử lại sau",فشل إنهاء البث، يرجى المحاولة لاحقاً,"No se pudo finalizar el en vivo, inténtalo de nuevo más tarde","Falha ao encerrar live, tente novamente mais tarde","Échec de la fin du live, veuillez réessayer plus tard",ライブ配信の終了に失敗しました。しばらくしてからお試しください,라이브 종료에 실패했습니다. 잠시 후 다시 시도해주세요,لائیو ختم کرنے میں ناکام، براہ کرم بعد میں دوبارہ کوشش کریں,"Gagal mengakhiri live, silakan coba lagi nanti","लाइव समाप्त करने में विफल, कृपया बाद में फिर प्रयास करें","Не удалось завершить эфир, попробуйте позже","Canlı yayın sonlandırılamadı, lütfen daha sonra tekrar deneyin",直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 补充说明（选填）,,补充说明（选填）,補充說明（選填）,Additional details (optional),Chi tiết bổ sung (tùy chọn),تفاصيل إضافية (اختياري),Detalles adicionales (opcional),Detalhes adicionais (opcional),Détails supplémentaires (optionnel),追加情報（任意）,추가 정보 (선택),اضافی تفصیلات (اختیاری),Detail tambahan (opsional),अतिरिक्त विवरण (वैकल्पिक),Дополнительные детали (необязательно),Ek detaylar (isteğe bağlı),直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 请描述举报原因,,请描述举报原因,請描述舉報原因,Please describe the reason for reporting,Vui lòng mô tả lý do báo cáo,يرجى وصف سبب الإبلاغ,Describe el motivo del reporte,Descreva o motivo da denúncia,Veuillez décrire le motif du signalement,通報理由を記入してください,신고 사유를 설명해주세요,براہ کرم رپورٹ کی وجہ بیان کریں,Silakan jelaskan alasan pelaporan,कृपया रिपोर्ट करने का कारण बताएं,Опишите причину жалобы,Şikayet nedenini açıklayın,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 请补充更多信息,,请补充更多信息...,請補充更多資訊...,Provide more information..,Cung cấp thêm thông tin..,يرجى تقديم المزيد من المعلومات..,Proporciona más información..,Forneça mais informações..,Fournissez plus d'informations..,詳細な情報を入力してください...,더 자세한 정보를 입력하세요..,مزید معلومات فراہم کریں..,Berikan informasi lebih lanjut..,अधिक जानकारी दें..,Добавьте больше информации...,Daha fazla bilgi sağlayın..,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 请选择原因,,请选择原因...,請選擇原因...,Select a reason...,Chọn một lý do...,اختر سبباً...,Selecciona un motivo...,Selecione um motivo...,Sélectionner un motif...,理由を選択...,사유를 선택하세요...,ایک وجہ منتخب کریں...,Pilih alasan...,एक कारण चुनें...,Выберите причину...,Bir neden seçin...,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 这次没有中福袋，再接再厉！,,这次没有中福袋，再接再厉！,這次沒有中福袋，再接再厲！,You did not win this Lucky Bag. Keep trying!,Bạn chưa trúng Lucky Bag này. Thử lại nhé!,لم تفز بهذه الحقيبة. حاول مرة أخرى!,No ganaste esta bolsa de la suerte. ¡Sigue intentándolo!,Você não ganhou esta bolsa da sorte. Tente de novo!,Vous n’avez pas gagné ce sac chanceux. Réessayez !,今回は当選しませんでした。次もチャレンジ！,이번 럭키백에는 당첨되지 않았습니다. 다음에 다시 도전하세요!,آپ یہ لکی بیگ نہیں جیت سکے۔ دوبارہ کوشش کریں!,Kamu belum menang Lucky Bag ini. Coba lagi!,इस बार लकी बैग नहीं मिला। फिर कोशिश करें!,В этот раз лаки-бег не достался вам. Попробуйте снова!,Bu şans çantasını kazanamadın. Tekrar dene!,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 选择举报原因,,选择举报原因,選擇舉報原因,Reason for Reporting,Vui lòng chọn lý do báo cáo buổi live này,اختر سبب الإبلاغ,Motivo del reporte,Selecione o motivo para denunciar esta transmissão,Veuillez sélectionner le motif du signalement de ce live,このライブ配信を通報する理由を選択してください,신고 사유,رپورٹ کی وجہ,Silakan pilih alasan untuk melaporkan live stream ini,रिपोर्ट का कारण,"Пожалуйста, выберите причину жалобы на этот эфир",Bu canlı yayını şikayet etme nedenini seçin,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 钻石福袋,,钻石福袋,鑽石福袋,Diamond Lucky Bag,Lucky Bag kim cương,حقيبة حظ بالألماس,Bolsa de la suerte de diamantes,Bolsa da sorte de diamantes,Sac chanceux Diamants,ダイヤラッキーバッグ,다이아 럭키백,ہیروں والا لکی بیگ,Lucky Bag Diamond,डायमंड लकी बैग,Лаки-бег с алмазами,Elmas şans çantası,直播核心流程文案，需确认预约、关注、发送等按钮状态切换正常
系统提示/弹窗/权限,直播间/预约直播流程 - 长时间未推流自动关播,,因长时间未推流，直播间已关闭，请重新开播。,因長時間未推流，直播間已關閉，請重新開播。,"Due to prolonged inactivity without streaming, the live room has been closed. Please go live again.","Do không phát trực tiếp trong thời gian dài, phòng live đã bị đóng. Vui lòng phát lại.",تم إغلاق غرفة البث لعدم البث لفترة طويلة. يرجى البدء بالبث مرة أخرى.,La sala en vivo se ha cerrado por inactividad prolongada sin transmisión. Vuelve a emitir en directo.,A sala ao vivo foi encerrada por inatividade prolongada sem transmissão. Inicie a transmissão novamente.,La salle en direct a été fermée en raison d'une inactivité prolongée sans diffusion. Veuillez relancer le live.,長時間推流されなかったため、ライブルームは終了しました。再度配信を開始してください。,장시간 스트리밍이 없어 라이브룸이 종료되었습니다. 다시 방송을 시작해 주세요.,طویل عرصے تک اسٹریم نہ ہونے کی وجہ سے لائیو روم بند کر دیا گیا ہے۔ براہ کرم دوبارہ لائیو شروع کریں۔,Ruang live ditutup karena tidak ada streaming dalam waktu lama. Silakan mulai siaran lagi.,लंबे समय तक स्ट्रीमिंग न होने के कारण लाइव रूम बंद कर दिया गया है। कृपया फिर से लाइव शुरू करें।,"Комната прямого эфира закрыта из-за длительного отсутствия трансляции. Пожалуйста, начните эфир снова.",Uzun süre yayın yapılmadığı için canlı oda kapatıldı. Lütfen yeniden yayına başlayın.,主播侧长时间未推流时系统自动关播提示
系统提示/弹窗/权限,站内信通知 - 点击查看详情无直播间详情,,直播已结束,直播已結束,The live stream has ended,Buổi phát trực tiếp đã kết thúc,انتهى البث المباشر,La transmisión en vivo ha terminado,A transmissão ao vivo terminou,Le live est terminé,ライブ配信は終了しました,라이브가 종료되었습니다,لائیو سٹریم ختم ہو چکی ہے,Siaran langsung telah berakhir,लाइव स्ट्रीम समाप्त हो गई है,Прямой эфир завершён,Canlı yayın sona erdi,站内信点击「查看详情」后，若无对应直播间详情页则 Toast/提示该文案
系统提示/弹窗/权限,系统提示/弹窗/权限 - 主播合约已作废,,主播合约已作废,主播合約已作廢,Streamer contract has been cancelled,Hợp đồng truyền phát đã bị hủy,تم إلغاء عقد البث,El contrato de Streamer ha sido cancelado.,O contrato do streamer foi cancelado,Le contrat du streamer a été annulé,ストリーマー契約が解除されました,스트리머 계약이 취소되었습니다,سٹریمر کا معاہدہ منسوخ کر دیا گیا ہے۔,Kontrak streamer telah dibatalkan,स्ट्रीमर अनुबंध रद्द कर दिया गया है,Контракт со стримером расторгнут,Yayıncı sözleşmesi iptal edildi,通知中心/系统消息文案，需检查后端通知类型和跳转目标
系统提示/弹窗/权限,系统提示/弹窗/权限 - 主播合约已失效,,主播合约已失效,主播合約已失效,Streamer contract expired,Hợp đồng streamer đã hết hạn,انتهت صلاحية عقد مقدّم البث,Contrato de streamer vencido,Contrato do streamer expirado,Contrat streamer expiré,配信者契約の有効期限が切れました,스트리머 계약 만료됨,اسٹریمر معاہدہ ختم ہو گیا,Kontrak streamer kedaluwarsa,स्ट्रीमर अनुबंध समाप्त,Контракт стримера истёк,Yayıncı sözleşmesinin süresi doldu,通知中心/系统消息文案，需检查后端通知类型和跳转目标
系统提示/弹窗/权限,系统提示/弹窗/权限 - 主播合约已通过,,主播合约已通过,主播合約已通過,Streamer contract approved,Hợp đồng streamer đã được duyệt,تمت الموافقة على عقد مقدّم البث,Contrato de streamer aprobado,Contrato do streamer aprovado,Contrat streamer approuvé,配信者契約が承認されました,스트리머 계약 승인됨,اسٹریمر معاہدہ منظور ہو گیا,Kontrak streamer disetujui,स्ट्रीमर अनुबंध स्वीकृत,Контракт стримера одобрен,Yayıncı sözleşmesi onaylandı,通知中心/系统消息文案，需检查后端通知类型和跳转目标
系统提示/弹窗/权限,系统提示/弹窗/权限 - 主播合约未通过,,主播合约未通过,主播合約未通過,Streamer contract disapproved,Hợp đồng streamer bị từ chối,تم رفض عقد مقدّم البث,Contrato de streamer rechazado,Contrato do streamer reprovado,Contrat streamer refusé,配信者契約が否認されました,스트리머 계약 승인 거절됨,اسٹریمر معاہدہ نامنظور ہو گیا,Kontrak streamer ditolak,स्ट्रीमर अनुबंध अस्वीकृत,Контракт стримера отклонён,Yayıncı sözleşmesi onaylanmadı,通知中心/系统消息文案，需检查后端通知类型和跳转目标
系统提示/弹窗/权限,站内信模板 - 主播审核不通过 - 标题,站内信模板,主播申请审核结果通知,主播申請審核結果通知,Notification of Your Streamer Application Review Result,Thông báo kết quả duyệt đơn streamer,إشعار بنتيجة مراجعة طلب المضيف,Notificación del resultado de tu solicitud de streamer,Notificação do resultado da análise da solicitação de streamer,Notification du résultat de l'examen de votre candidature streamer,配信者申請の審査結果通知,스트리머 신청 심사 결과 알림,اسٹریمر درخواست کے جائزے کے نتیجے کی اطلاع,Pemberitahuan Hasil Peninjauan Permohonan Streamer,स्ट्रीमर आवेदन समीक्षा परिणाम की अधिसूचना,Уведомление о результате проверки заявки стримера,Yayıncı Başvurusu İnceleme Sonucu Bildirimi,站内信 notify_type=5；占位符勿译；来源：英文站内信模板.xlsx；覆盖旧站内信短文案：主播审核未通过/主播审核不通过
